
Note: No compatibility mode selected!


Circuit: * hibiki i3c_tx_0p125ma_tx through cascaded wmodel baseline rlgc traces

binary raw file "C:\Users\simom\Desktop\Projects\IBIS_Comparison\results\hibiki_i3c_tx_0p125ma_wmodel_cascade_ngspice_2026-05-29\raw\hibiki_wmodel_cascade.raw"
Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
No. of Data Columns : 8

Initial Transient Solution
--------------------------

Node                                   Voltage
ch_trace03_76_rl                   2.08768e-06
ch_trace03_76                      2.08768e-06
ch_trace03_77_rl                   2.08767e-06
ch_trace03_77                      2.08767e-06
ch_trace03_78_rl                   2.08765e-06
ch_trace03_78                      2.08765e-06
ch_trace03_79_rl                   2.08764e-06
ch_trace03_79                      2.08764e-06
ch_trace03_80_rl                   2.08763e-06
pad_cascade                        2.08763e-06
b.xhibiki.b29#branch                         0
b.xhibiki.b28#branch                         0
b.xhibiki.b27#branch                         0
b.xhibiki.b26#branch                         0
b.xhibiki.b25#branch                         0
b.xhibiki.b24#branch                         0
b.xhibiki.b23#branch                         0
b.xhibiki.b22#branch                         0
b.xhibiki.b21#branch                         0
b.xhibiki.b20#branch                         0
b.xhibiki.b18#branch                         0
b.xhibiki.b17#branch                         0
b.xhibiki.b16#branch                         0
b.xhibiki.b15#branch                         0
b.xhibiki.b14#branch                         0
b.xhibiki.b13#branch                         0
b.xhibiki.b12#branch                      0.01
b.xhibiki.b11#branch                         0
b.xhibiki.b10#branch                         0
lch_trace03_80#branch              1.79968e-09
lch_trace03_79#branch              1.79968e-09
lch_trace03_78#branch              1.79968e-09
lch_trace03_77#branch              1.79968e-09
lch_trace03_76#branch              1.79968e-09
lch_trace03_75#branch              1.79968e-09
lch_trace03_74#branch              1.79968e-09
lch_trace03_73#branch              1.79968e-09
lch_trace03_72#branch              1.79968e-09
lch_trace03_71#branch              1.79968e-09
lch_trace03_70#branch              1.79968e-09
lch_trace03_69#branch              1.79968e-09
lch_trace03_68#branch              1.79968e-09
lch_trace03_67#branch              1.79968e-09
lch_trace03_66#branch              1.79968e-09
lch_trace03_65#branch              1.79968e-09
lch_trace03_64#branch              1.79968e-09
lch_trace03_63#branch              1.79968e-09
lch_trace03_62#branch              1.79968e-09
lch_trace03_61#branch              1.79968e-09
lch_trace03_60#branch              1.79968e-09
lch_trace03_59#branch              1.79968e-09
lch_trace03_58#branch              1.79968e-09
lch_trace03_57#branch              1.79968e-09
lch_trace03_56#branch              1.79968e-09
lch_trace03_55#branch              1.79968e-09
lch_trace03_54#branch              1.79968e-09
lch_trace03_53#branch              1.79968e-09
lch_trace03_52#branch              1.79968e-09
lch_trace03_51#branch              1.79968e-09
lch_trace03_50#branch              1.79968e-09
lch_trace03_49#branch              1.79968e-09
lch_trace03_48#branch              1.79968e-09
lch_trace03_47#branch              1.79968e-09
lch_trace03_46#branch              1.79968e-09
lch_trace03_45#branch              1.79968e-09
lch_trace03_44#branch              1.79968e-09
lch_trace03_43#branch              1.79968e-09
lch_trace03_42#branch              1.79968e-09
lch_trace03_41#branch              1.79968e-09
lch_trace03_40#branch              1.79968e-09
lch_trace03_39#branch              1.79968e-09
lch_trace03_38#branch              1.79968e-09
lch_trace03_37#branch              1.79968e-09
lch_trace03_36#branch              1.79968e-09
lch_trace03_35#branch              1.79968e-09
lch_trace03_34#branch              1.79968e-09
